Model,Dataset,F1 Score,Precision,Recall,Accuracy
Botometer Lite,gilani-2017,0.7530257477644158,0.7727522655534059,0.7498181411224889,0.7639484978540773
Botometer_0.5,gilani-2017,0.7282579154776465,0.7280767145567905,0.7296329148471616,0.7292161520190024
Botometer_0.6,gilani-2017,0.7059204361529943,0.7057181756296801,0.7061954148471616,0.7078384798099763
BotHunter,gilani-2017,0.7026416475192414,0.7260788645269934,0.7014386436125568,0.7182403433476395
Botometer_0.7,gilani-2017,0.6924512987012987,0.7017840038314176,0.6916507459970888,0.7007125890736342
SATAR,gilani-2017,0.5825734863900668,0.6411230344241394,0.5990990990990991,0.628755364806867
DigitalDNA_B6,gilani-2017,0.5155350978135788,0.6925531914893617,0.574099344978166,0.6080760095011877
DigitalDNA_B3,gilani-2017,0.4915458937198067,0.6832485914525217,0.560657751091703,0.5961995249406176
DeeProBot,gilani-2017,0.467160786290177,0.47365780492736104,0.4756068114526944,0.4902884615384617
