Model,Dataset,F1 Score,Precision,Recall,Accuracy
Botometer_0.6,varol-icwsm,0.7483352259822849,0.7533663805859723,0.7450885668276972,0.7631578947368421
Botometer_0.5,varol-icwsm,0.7477785372522214,0.7492493035707826,0.7465378421900162,0.7602339181286549
Botometer_0.7,varol-icwsm,0.7277146576997648,0.74716181643748,0.721256038647343,0.7514619883040936
Botometer Lite,varol-icwsm,0.7219007681296749,0.7467353346832174,0.7117244157937148,0.7631578947368421
BotHunter,varol-icwsm,0.6152401984322351,0.6678952182000526,0.6138479552780017,0.6967464114832531
DigitalDNA_B3,varol-icwsm,0.5195904954499495,0.7163715439577509,0.5667209502825941,0.6519337016574586
DeeProBot,varol-icwsm,0.5018701921543632,0.5153121604366988,0.5130415274623297,0.6084343434343434
DigitalDNA_B6,varol-icwsm,0.4954703832752614,0.7452869710934227,0.5560877478685697,0.6464088397790055
SATAR,varol-icwsm,0.4006521055939661,0.5757211538461539,0.501586422240129,0.6507177033492823
