Dataset,Classifier,Input Embedding Dimension,Output Embedding Dimension,Accuracy,F1-Score,Precision,Recall
gilani-2017,Balanced Logistic Regression,64,128,0.7796976241900648,0.7734312032239493,0.7743012781028642,0.7726846536548029
varol-icwsm,Balanced Logistic Regression,64,32,0.8024096385542169,0.7722588071528002,0.7722588071528,0.7722588071528
varol-icwsm,Balanced Logistic Regression,128,64,0.7903614457831325,0.764298444324035,0.7590676883780332,0.7715092622336439
varol-icwsm,Balanced Logistic Regression,32,128,0.7879518072289157,0.7628571428571429,0.7569085939872457,0.771763572116929
varol-icwsm,Balanced Logistic Regression,16,64,0.7879518072289157,0.7628571428571429,0.7569085939872457,0.771763572116929
varol-icwsm,Balanced Logistic Regression,16,128,0.7855421686746988,0.7552498525601521,0.7529275849393477,0.7578702216511404
varol-icwsm,Balanced Logistic Regression,128,128,0.7831325301204819,0.7529761904761905,0.750274682153508,0.7561034371988435
gilani-2017,Balanced Logistic Regression,128,64,0.7580993520518359,0.7504619648906683,0.7522669146710068,0.7491389207807118
gilani-2017,Balanced Logistic Regression,128,128,0.7580993520518359,0.750067476383266,0.7524499319463349,0.7484404898584003
varol-icwsm,Balanced Logistic Regression,64,128,0.7734939759036145,0.7475669099756692,0.7416352201257862,0.7571206767319842
gilani-2017,Balanced Logistic Regression,32,64,0.7494600431965442,0.7441013912712026,0.7432968744065931,0.7451683888251053
gilani-2017,Balanced Logistic Regression,32,128,0.7451403887688985,0.738643321852277,0.738643321852277,0.738643321852277
gilani-2017,Balanced Logistic Regression,64,16,0.7494600431965442,0.7379586260733803,0.7456340623247617,0.7346919249904325
varol-icwsm,Balanced Logistic Regression,128,32,0.7614457831325301,0.7363659114097061,0.7301488833746899,0.7482867544705001
gilani-2017,Balanced Logistic Regression,128,32,0.7429805615550756,0.7354730297429003,0.7364468864468865,0.7346823574435515
varol-icwsm,Balanced Logistic Regression,64,64,0.7710843373493976,0.7345278737315584,0.7360410906922534,0.7331218545882856
gilani-2017,Balanced Logistic Regression,64,64,0.7451403887688985,0.7344254326268714,0.7402083333333334,0.7316590126291619
gilani-2017,Balanced Logistic Regression,16,128,0.7365010799136069,0.7290059489541355,0.7297409146904835,0.7283869115958668
varol-icwsm,Balanced Logistic Regression,16,16,0.7614457831325301,0.7244854849417586,0.7249489302225567,0.7240336224435164
varol-icwsm,Balanced Logistic Regression,32,32,0.7493975903614458,0.7243933588761176,0.7184283110870315,0.7374317378734341
varol-icwsm,Balanced Logistic Regression,32,64,0.7469879518072289,0.7194591984548526,0.7139649753030983,0.7296016704143913
gilani-2017,Balanced Logistic Regression,32,32,0.7235421166306696,0.7168845066116335,0.716604328079081,0.7171928817451205
gilani-2017,Balanced Logistic Regression,16,64,0.712742980561555,0.7071473750790639,0.706289272465743,0.7085629544584768
varol-icwsm,Balanced Logistic Regression,128,16,0.7373493975903614,0.7067784195139659,0.7021244386133119,0.7144501552628761
gilani-2017,Balanced Logistic Regression,16,32,0.714902807775378,0.7044680851063829,0.7075839504721602,0.7027458859548412
gilani-2017,Balanced Logistic Regression,32,16,0.7062634989200864,0.6991897882748604,0.6989332468226404,0.6994737849215461
gilani-2017,Balanced Logistic Regression,16,16,0.693304535637149,0.6863383076981795,0.6859010963910461,0.6868828932261768
gilani-2017,Balanced Logistic Regression,128,16,0.6997840172786177,0.6857031230923254,0.6924212005621362,0.6834003061615002
varol-icwsm,Balanced Logistic Regression,16,32,0.7204819277108434,0.6851619316695443,0.6818368183681838,0.6899560980833066
gilani-2017,Balanced Logistic Regression,64,32,0.6911447084233261,0.6843357410188563,0.6838212927756654,0.6850172215843857
varol-icwsm,Balanced Logistic Regression,64,16,0.7036144578313253,0.6702540681261749,0.6664158137668071,0.6775886069172288
varol-icwsm,Balanced Logistic Regression,32,16,0.6674698795180722,0.6306686271475004,0.6279642785671402,0.6369391797837027
