Dataset,Input,Output,Sup Version,Precision,Recall,F1 Score,Accuracy,Time (s)
gilani-2017,64,64,1,0.745373048004627,0.7435419058553387,0.7443646926086853,0.7516198704103672,1107.17309596017
gilani-2017,64,64,2,0.7541582033495573,0.753798316111749,0.7539745228418377,0.7602591792656588,1089.2523837490007
varol-icwsm,16,64,1,0.7584714836826192,0.7654459792268979,0.7616658635280449,0.7903614457831325,1008.1160399597138
varol-icwsm,16,64,2,0.766550706304027,0.7707463325837884,0.768550486004143,0.7975903614457831,954.6406886409968
